student_id,semester_id,cumulative_gpa_before_sem,previous_semester_gpa,avg_gpa_change_from_previous_semester,total_credits,num_courses,avg_module_completion_pct,avg_video_watch_pct,avg_quiz_score,total_late_submissions,days_active,days_since_last_activity,num_failed_courses,grade_stddev_across_courses,semester_performance_class
STU10000,2026S1,4.591961487927918,4.479338116479725,-0.11262337144819323,23,8,100.0,81.7598331810478,37.36244505964544,4,18,0,1,0.5960121656683817,2
STU10001,2026S1,4.039203768827194,3.9621250591317585,-0.07707870969543507,23,8,81.96937808517077,54.21548552180786,68.95601468696042,5,77,20,0,0.45951855145122283,1
STU10002,2026S1,4.043329855225693,4.152361052148616,0.10903119692292318,23,8,93.14313479416892,100.0,48.83363078278185,2,103,6,0,0.8778381990994704,2
STU10003,2026S1,1.5091050811004634,2.171844151065597,0.6627390699651337,23,8,97.38382279763123,100.0,83.80895555203931,5,87,43,4,0.5239845244937907,0
STU10004,2026S1,2.5278777816809543,2.6145409294227333,0.08666314774177897,23,8,61.07744171371431,83.31149473936749,53.96248994029563,3,39,39,0,0.9744510746262901,1
STU10005,2026S1,3.865223085152885,4.017870758093262,0.15264767294037718,23,8,100.0,100.0,90.08047893944857,3,104,43,0,0.6888040492263343,1
STU10006,2026S1,2.8005003907939647,2.0358060708298242,-0.7646943199641405,23,8,58.832724522736925,100.0,82.9948337305974,5,70,14,2,1.0237115091851134,1
STU10007,2026S1,2.3836334085050783,2.460907086694091,0.07727367818901287,23,8,85.93800669493312,57.168045652195815,100.0,4,74,13,2,1.0156596275374907,1
STU10008,2026S1,2.0556644255938012,1.637505985567118,-0.41815844002668334,23,8,73.26029687264027,51.7807829020362,66.75428383562327,4,67,29,3,0.4017677474493484,0
STU10009,2026S1,4.177868925900512,4.03177045072803,-0.1460984751724821,23,8,85.85237510909096,84.86375163124129,77.411171646283,2,36,51,1,0.5083809129406207,2
STU10010,2026S1,3.759462465153593,3.7735282416755505,0.014065776521957396,23,8,71.83938228391261,10.0,65.22680380864026,1,75,0,0,0.702955079618808,1
STU10011,2026S1,4.730803114973588,4.640172602295365,-0.09063051267822253,23,8,83.23533951807642,65.56944080617986,66.53094189023795,2,54,52,0,1.1255489494849908,2
STU10012,2026S1,4.1685767874353745,3.977788811225367,-0.19078797621000732,23,8,95.42851200974442,56.8187159652139,87.19364110449305,5,49,2,0,1.1199046994180348,1
STU10013,2026S1,4.735244193048615,4.547130121148932,-0.1881140718996832,23,8,91.79477512952786,66.21759502493583,78.90590536308336,2,70,32,1,0.6033021330305762,2
STU10014,2026S1,1.7561921817840167,1.69287770223654,-0.06331447954747671,23,8,74.07143298846978,45.455219185910224,63.342284131247794,0,50,10,3,0.554007725382186,0
STU10015,2026S1,4.572663424129274,4.496250898587795,-0.07641252554147915,23,8,60.69643224693071,66.94741848341798,88.77543904689131,3,83,22,0,0.7969892575182862,2
STU10016,2026S1,4.57665848894157,4.5827402593375846,0.006081770396014541,23,8,70.53670583307606,82.11845611568162,83.02299369127194,4,97,40,1,0.6876710427923942,2
STU10017,2026S1,4.672893395201083,4.6565498998479855,-0.016343495353097204,23,8,81.66255763206291,100.0,93.01804109428912,3,93,24,1,0.7535093481964066,2
STU10018,2026S1,2.55795791808846,2.9416207052643855,0.3836627871759255,23,8,84.78001903211643,79.37251110940826,86.96563763215843,5,51,3,2,0.648519065028837,1
STU10019,2026S1,2.6660563406521045,2.0511761474704486,-0.6148801931816559,23,8,91.05029647175772,34.5094761805493,58.638065717460485,2,71,39,2,0.1,1
STU10020,2026S1,4.720969643113641,4.794461600188767,0.07349195707512646,23,8,64.0341466347208,71.30750158931296,56.71086189918411,4,89,48,1,0.6641687970173012,2
STU10021,2026S1,3.949568604749163,3.970871487823707,0.021302883074544088,23,8,61.01486051922038,98.38266288543137,57.34132885604107,2,114,59,1,0.5957630303828629,1
STU10022,2026S1,4.460848083213651,4.420590978765892,-0.04025710444775843,23,8,59.70328498170837,65.85513279194325,79.05576849893983,3,47,31,0,0.5903022862788052,2
STU10023,2026S1,3.5068973977891256,3.295154270219857,-0.21174312756926872,23,8,72.0441007597472,83.70858856816392,89.17218768646715,3,69,45,1,0.7466885681810665,1
STU10024,2026S1,4.646850192153946,4.601937646750389,-0.04491254540355705,23,8,78.2132896371491,94.25661391547169,84.0499397128998,5,117,19,1,0.19774734445726455,2
STU10025,2026S1,3.3350892817168605,2.84503701428699,-0.4900522674298706,23,8,80.54936077779307,73.44813318193405,39.29468220792356,3,58,15,2,0.785209471392714,1
STU10026,2026S1,2.789696951672524,2.8517123193326492,0.062015367660125165,23,8,53.784343115761686,77.17732429161553,52.1386275910917,2,115,19,0,0.4272894897289234,1
STU10027,2026S1,4.500194275067994,4.616612025594263,0.1164177505262689,23,8,60.69954124608008,81.79301832169946,77.2985099785597,1,116,33,0,0.10711776463091977,2
STU10028,2026S1,4.646371701846404,4.435151153941476,-0.2112205479049285,23,8,64.46167587292322,61.6859160354571,87.12173741673428,0,114,23,0,0.8098535790536787,2
STU10029,2026S1,2.1287427143589674,2.7109500269944915,0.582207312635524,23,8,100.0,65.91210772370168,70.54594618091726,4,27,7,2,0.7640102443340894,1
STU10030,2026S1,3.26876094887901,3.2326276373544625,-0.03613331152454746,23,8,69.28355785902741,52.44071928876379,92.50389752806569,0,108,54,2,0.1,1
STU10031,2026S1,2.843577763320794,2.856799610308811,0.013221846988017205,23,8,52.84898345717818,60.29602608485983,30.96880138230091,3,103,46,2,0.1580463848149784,1
